arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
30.0,4.073,262144,219363.56966460953
30.0,4.639,32768,469476.79436687817
30.0,5.649,4096,1119957.3512853067
30.0,7.918,512,1289961.2166596327
30.0,16.772,64,5588734.966872199
