arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20.0,4.073,262144,1376554.5777552738
20.0,4.639,32768,2310027.7509893687
20.0,5.649,4096,5003907.835259159
20.0,7.918,512,9719993.013980823
20.0,16.772,64,20439259.448911916
