arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,230781.1433848095
22.0,4.639,32768,786268.3457344573
22.0,5.649,4096,1323995.4484691403
22.0,7.918,512,2708756.850654189
22.0,16.772,64,6608095.617046337
