arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20.0,4.073,262144,1695098.064623401
20.0,4.639,32768,3157446.64178114
20.0,5.649,4096,5360883.284740771
20.0,7.918,512,9370051.20871455
20.0,16.772,64,20563482.816249415
