arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
34.0,4.073,262144,304995.4714696597
34.0,4.639,32768,133187.24655912066
34.0,5.649,4096,67224.92022308394
34.0,7.918,512,56824.591472354645
34.0,16.772,64,46828.674431378044
