arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
28.0,4.073,262144,809436.0338420819
28.0,4.639,32768,1086768.530971982
28.0,5.649,4096,1205063.3032202085
28.0,7.918,512,3691475.826991828
28.0,16.772,64,9643385.96763165
