arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
40.0,4.073,262144,109169.90766232241
40.0,4.639,32768,110308.39329806232
40.0,5.649,4096,59797.73591031687
40.0,7.918,512,30185.753063324428
40.0,16.772,64,19715.87728202831
