arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20.0,4.073,262144,1380480.5837754474
20.0,4.639,32768,2993082.1795585565
20.0,5.649,4096,4674994.898679035
20.0,7.918,512,10597030.367376182
20.0,16.772,64,20810045.012301415
