arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,600699.6274428676
30.0,4.639,32768,76439.44339802586
30.0,5.649,4096,266197.4330755276
30.0,7.918,512,647913.4715353587
30.0,16.772,64,1979427.6315076537
