arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,36958.9249437805
40.0,4.639,32768,78482.39543362574
40.0,5.649,4096,39538.25918019153
40.0,7.918,512,20978.88462240069
40.0,16.772,64,12794.9347790444
