arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
26.0,4.073,262144,499743.25176234246
26.0,4.639,32768,586034.3786340525
26.0,5.649,4096,1657751.4449952985
26.0,7.918,512,5514445.137343648
26.0,16.772,64,13027085.331625873
