arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
22.0,4.073,262144,1406123.3331112887
22.0,4.639,32768,2369648.7495666947
22.0,5.649,4096,4495658.653035949
22.0,7.918,512,7913841.484417539
22.0,16.772,64,18179569.40263124
