arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
36.0,4.073,262144,308442.34313077055
36.0,4.639,32768,162525.36394667756
36.0,5.649,4096,80998.70445260221
36.0,7.918,512,42474.622282016826
36.0,16.772,64,46928.815625370305
