arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
24.0,4.073,262144,914040.5153733613
24.0,4.639,32768,1367295.5095186995
24.0,5.649,4096,2717011.4939223207
24.0,7.918,512,6747222.97293657
24.0,16.772,64,16045072.179457935
