arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,652827.7330467816
22.0,4.639,32768,802855.2294953306
22.0,5.649,4096,1050172.5998230006
22.0,7.918,512,2670539.050458727
22.0,16.772,64,6776452.213491216
