arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
28.0,4.073,262144,444917.49641141336
28.0,4.639,32768,813583.314125849
28.0,5.649,4096,1144189.7389283825
28.0,7.918,512,3608030.1915796106
28.0,16.772,64,9520043.808358762
