arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
32.0,4.073,262144,591396.6869817585
32.0,4.639,32768,147851.14173383985
32.0,5.649,4096,189748.85242340728
32.0,7.918,512,151090.43613677207
32.0,16.772,64,264147.26868548157
