arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,116760.81021901142
34.0,4.639,32768,85961.95796397381
34.0,5.649,4096,69349.10831438281
34.0,7.918,512,49516.305132754
34.0,16.772,64,34660.86761753087
