arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
24.0,4.073,262144,726320.5538624114
24.0,4.639,32768,1223413.8873868482
24.0,5.649,4096,3600369.474887543
24.0,7.918,512,6844379.485575811
24.0,16.772,64,16047342.844624495
