arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
34.0,4.073,262144,90313.45764613379
34.0,4.639,32768,115690.97567658422
34.0,5.649,4096,222878.449604263
34.0,7.918,512,71266.27134907508
34.0,16.772,64,65029.9514608461
