arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,153448.29205957297
26.0,4.639,32768,268776.8953332857
26.0,5.649,4096,803418.4906522876
26.0,7.918,512,1946471.7741477783
26.0,16.772,64,4367125.550437611
