arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
30.0,4.073,262144,431431.3055759862
30.0,4.639,32768,162433.5965248569
30.0,5.649,4096,403218.44946009107
30.0,7.918,512,3378071.2551447162
30.0,16.772,64,4552978.535504313
