arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
22.0,4.073,262144,1256298.572644258
22.0,4.639,32768,2399662.497147672
22.0,5.649,4096,3500488.032643591
22.0,7.918,512,8177836.643338323
22.0,16.772,64,18413076.861182436
