arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
38.0,4.073,262144,975061.3549505487
38.0,4.639,32768,69648.07175363867
38.0,5.649,4096,67544.39329063515
38.0,7.918,512,31940.7151767145
38.0,16.772,64,24344.21863605402
