arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,507431.017840849
20.0,4.639,32768,1053537.517315354
20.0,5.649,4096,1869839.8489247682
20.0,7.918,512,3606704.2755535142
20.0,16.772,64,7442844.436486766
