arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,104340.28713301492
38.0,4.639,32768,84536.44409365703
38.0,5.649,4096,85973.26429768733
38.0,7.918,512,35919.28998463082
38.0,16.772,64,15332.873279330264
