arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,156096.3424555489
36.0,4.639,32768,96919.65123750705
36.0,5.649,4096,51849.82677888133
36.0,7.918,512,36686.45920499824
36.0,16.772,64,19056.49272557781
