arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
30.0,4.073,262144,379015.3042200275
30.0,4.639,32768,814028.1379233768
30.0,5.649,4096,236783.55441626432
30.0,7.918,512,1769815.152168723
30.0,16.772,64,3073751.3858682523
