arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
36.0,4.073,262144,411491.48302607675
36.0,4.639,32768,92765.93165596947
36.0,5.649,4096,77167.92359523482
36.0,7.918,512,49523.116319553235
36.0,16.772,64,33411.385888645804
