arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
24.0,4.073,262144,637760.7585858509
24.0,4.639,32768,1331999.8390934588
24.0,5.649,4096,2956600.6888952726
24.0,7.918,512,7137225.682166636
24.0,16.772,64,15763100.06598426
