arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
32.0,4.073,262144,150476.51361591285
32.0,4.639,32768,201355.53352962516
32.0,5.649,4096,369723.7407159567
32.0,7.918,512,186681.92283667962
32.0,16.772,64,257310.96900054612
