arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
32.0,4.073,262144,176801.55989979274
32.0,4.639,32768,208867.25969859422
32.0,5.649,4096,142512.7996812918
32.0,7.918,512,269377.98209764657
32.0,16.772,64,337121.341791053
