arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
32.0,4.073,262144,795220.851713535
32.0,4.639,32768,365900.89852171723
32.0,5.649,4096,187235.04547493238
32.0,7.918,512,128838.6632692221
32.0,16.772,64,311908.18630648346
