arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
30.0,4.073,262144,93193.8405529035
30.0,4.639,32768,593131.1125392092
30.0,5.649,4096,757554.2682692772
30.0,7.918,512,1524429.864839639
30.0,16.772,64,2104534.0424186536
