arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
40.0,4.073,262144,76989.33882038473
40.0,4.639,32768,95711.01123695225
40.0,5.649,4096,62543.932495486726
40.0,7.918,512,29653.268082961782
40.0,16.772,64,19528.837471800518
