arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,101730.36548150213
36.0,4.639,32768,77040.23890798885
36.0,5.649,4096,39309.36931572421
36.0,7.918,512,34017.509491436904
36.0,16.772,64,19686.75034128284
