batch,Dynamic,Dynamic_BAL,RFDynamic
1,3233.0575,3233.0575,2254.5902
2,1918.3501,1918.3501,1752.6323
3,3869.0615,3869.0615,3869.0615
4,7806.7343,7806.7343,7806.7343
5,10239.1380,10239.1380,10239.1380
6,7631.0982,7631.0982,7631.0982
7,5629.5269,5629.5269,5629.5269
8,4415.6968,4415.6968,4415.6968
9,1906.1750,1906.1750,1906.1750
10,5709.3797,5709.3797,5709.3797
11,6726.2304,6726.2304,6726.2304
12,9261.5809,9261.5809,9261.5809
13,13534.8402,13534.8402,13534.8402
14,13468.2112,13468.2112,13468.2112
15,17057.1389,17057.1389,17057.1389
16,19412.3021,19412.3021,19412.3021
17,19998.4172,19998.4172,19998.4172
18,16925.2970,16925.2970,16925.2970
19,16199.7204,16199.7204,16199.7204
20,15580.6720,15580.6720,15580.6720
21,16688.5690,16688.5690,16688.5690
22,19577.4812,19577.4812,19577.4812
23,24156.6716,24156.6716,24156.6716
24,26847.5860,26847.5860,26847.5860
25,24234.9555,24234.9555,24234.9555
26,19715.4205,19715.4205,19715.4205
27,17338.2752,17338.2752,17338.2752
28,16235.8938,16235.8938,16235.8938
29,13803.9515,13803.9515,13803.9515
30,13032.2373,13032.2373,13032.2373
31,12224.0129,12224.0129,12224.0129
32,14449.0407,14449.0407,14449.0407
33,15484.0448,15484.0448,15484.0448
34,16357.5720,16357.5720,16357.5720
35,20462.9876,20462.9876,20462.9876
36,22389.3974,22389.3974,22389.3974
37,24305.6444,24305.6444,24305.6444
38,27702.3277,27702.3277,27702.3277
39,31183.9426,31183.9426,31183.9426
40,31215.3787,31215.3787,31215.3787
41,32439.6929,32439.6929,32439.6929
42,30418.3172,30418.3172,30418.3172
43,29611.0016,29611.0016,29611.0016
44,32938.6747,32938.6747,32938.6747
45,34300.2032,34300.2032,34300.2032
46,32063.5718,32063.5718,32063.5718
47,29321.7762,29321.7762,29321.7762
48,29536.5525,29536.5525,29536.5525
49,29658.4573,29658.4573,29658.4573
50,29852.9699,29852.9699,29852.9699
51,27008.5220,27008.5220,27008.5220
52,20268.5263,20268.5263,20268.5263
53,16663.9803,16559.2229,15799.8953
54,25764.7809,25754.8737,27257.5036
55,35396.5054,35398.6002,108885.3045
56,4149.1077,4149.1077,90390.5197
57,6901.5632,6901.5632,72669.6470
58,3403.0453,3403.0453,49033.7727
59,12058.3577,12058.3577,35931.8420
60,4302.8112,4302.8112,10334.4758
61,5905.0823,5905.0823,29638.6651
62,7145.0615,7145.0615,14716.4819
63,3683.6008,3683.6008,9942.6019
64,5773.9684,5773.9684,403.6025
65,21260.6894,21257.6876,368.4752
66,3110.3119,3110.3929,1255.4135
67,3634.4312,3634.4312,2308.0479
68,2040.3990,2040.3990,1460.5889
69,452.5505,452.5505,470.3275
70,577.5292,577.5292,589.3284
71,488.3667,488.3667,488.1506
72,435.7144,435.7144,517.7644
73,868.2091,868.2091,733.1514
74,1527.0301,1527.0301,1410.7860
75,10915.8768,10915.8768,4784.9332
76,2506.6143,2506.6143,837.9887
77,2874.4339,2874.4339,4020.7169
78,11690.2300,11690.2300,356.2162
79,372.4379,372.4379,434.7333
80,10767.3691,10767.3691,15976.5086
81,3028.1230,3028.1230,1012.1171
82,17338.9371,17338.9371,53636.8215
83,13155.1900,13155.1900,471.6174
84,4659.0349,4659.0349,498.3593
85,21896.1880,21896.1880,12969.6682
86,2759.4595,2759.4595,1261.9624
87,5294.2899,5294.2899,1006.1387
88,4105.8120,4105.8120,430.8387
89,8505.9990,8505.9990,323.6866
90,11123.6064,11123.6064,12924.5023
91,18333.1411,18333.1411,1421.8154
92,5862.7205,5862.7205,2009.2429
93,5195.2479,5195.2479,528.6681
94,1884.1664,1884.1664,992.9310
95,11087.7754,11087.7754,23345.6581
96,4903.0870,4903.0870,462.8866
97,15085.9570,15085.9570,1195.0364
98,3714.3243,3714.3243,2065.5595
99,13424.9685,13424.9685,12483.9050
100,22601.9797,22593.4739,4444.0578
