frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,728591.260419,213535.000000,0.000000
4,794195.342770,247206.000000,0.000000
8,616080.567953,239276.000000,0.000000
16,714122.821251,207562.000000,0.000000
32,732210.042237,303301.000000,0.000000
64,398524.901543,215278.000000,0.000000
128,1166053.262332,283561.000000,0.000000
256,644683.117601,208683.000000,0.000000
512,1138027.987504,292451.000000,0.000000
1024,717049.332307,293675.000000,0.000000
2048,396205.382877,165073.000000,0.000000
4096,878492.486636,298781.000000,0.000000
8192,2063623.174990,296926.000000,0.000000
16384,490315.238331,92484.000000,0.000000
32768,2101779.013228,299712.000000,0.000000
65536,1799627.790566,160564.000000,0.000000
