frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1847492.125872,301857.000000,0.000000
4,1300021.563962,262609.000000,0.000000
8,1674529.989170,302291.000000,0.000000
16,1059352.640086,200896.000000,0.000000
32,1882131.766420,290485.000000,0.000000
64,1246076.429619,237959.000000,0.000000
128,1583519.045591,274574.000000,0.000000
256,2278696.885274,284045.000000,0.000000
512,1887945.403105,282872.000000,0.000000
1024,1535098.021012,223118.000000,0.000000
2048,3335642.284719,293869.000000,0.000000
4096,2459375.497750,281838.000000,0.000000
8192,3064535.846198,302058.000000,0.000000
16384,2933061.851807,296799.000000,0.000000
32768,63087.903492,14076.000000,0.000000
65536,5146937.129746,262343.000000,0.000000
