frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,471365.563039,166824.000000,81.767964
4,333339.213488,149924.000000,2291.163023
8,659691.359881,225718.000000,119.293755
16,805965.108642,270959.000000,202.440115
32,347893.040596,184290.000000,219.483485
64,212067.784892,120481.000000,1575.574498
128,1345378.535265,297736.000000,681.530630
256,809484.836649,245640.000000,1567.492584
512,727574.645734,224385.000000,93217.542104
1024,765535.550809,234779.000000,12342.578661
2048,1590047.364080,246699.000000,69228.115105
4096,1161370.208282,270239.000000,680787.085530
8192,1174565.052284,201516.000000,511926.112468
16384,927678.700519,142901.000000,349059.673734
32768,2335917.996143,293164.000000,1931791.605129
65536,2481087.816857,222319.000000,1978340.472399
