frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1569539.689142,303337.000000,0.000000
4,1214612.493463,254201.000000,0.000000
8,1573257.996113,275088.000000,0.000000
16,1720179.409588,288768.000000,0.000000
32,2368735.196845,296326.000000,0.000000
64,1745470.866839,279868.000000,0.000000
128,1162964.753742,257267.000000,0.000000
256,2112749.549034,274336.000000,0.000000
512,1525407.989019,201459.000000,0.000000
1024,1647085.557746,258287.000000,0.000000
2048,1992865.097900,298177.000000,0.000000
4096,1920286.271064,254902.000000,0.000000
8192,2439204.103955,292619.000000,0.000000
16384,2874311.441739,277383.000000,0.000000
32768,2678305.593650,145011.000000,0.000000
65536,5458877.523726,297598.000000,0.000000
