frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,114692.683341,52805.000000,44.113490
4,398978.093726,223233.000000,628.817939
8,376530.216778,264298.000000,53.432200
16,363979.626916,151471.000000,95.341491
32,206348.070749,71234.000000,4168.813260
64,114648.873187,34623.000000,582.333238
128,366270.906687,163082.000000,400.532146
256,345654.805231,230070.000000,9969.683495
512,280625.536969,137321.000000,11841.238955
1024,339970.825162,182269.000000,125066.116259
2048,535554.512818,277257.000000,40796.873863
4096,1123536.147629,320496.000000,129261.195418
8192,606036.887647,229674.000000,456719.866551
16384,968062.670391,172229.000000,802136.155252
32768,1018825.367888,241647.000000,747053.098888
65536,135453.178542,83338.000000,0.000000
