frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,149951.966273,131413.000000,0.000000
4,188488.393637,95789.000000,0.000000
8,503314.940170,295635.000000,0.000000
16,139219.711288,62829.000000,0.000000
32,798579.176388,340429.000000,0.000000
64,149305.716954,87909.000000,0.000000
128,369238.367488,268524.000000,0.000000
256,304144.306642,191035.000000,0.000000
512,366755.904271,295525.000000,0.000000
1024,192044.798953,139637.000000,0.000000
2048,134496.313299,77503.000000,0.000000
4096,140199.564743,55685.000000,0.000000
8192,673208.269671,302301.000000,0.000000
16384,141975.794099,85803.000000,0.000000
32768,109689.316991,64276.000000,0.000000
65536,97730.282958,73791.000000,0.000000
