frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1177181.130787,227412.000000,55100.000000
4,1168631.296629,213672.000000,44.328321
8,962362.981139,219929.000000,78.517514
16,954624.243894,230766.000000,423.370996
32,1671375.422554,296618.000000,187.312573
64,1847372.058676,289029.000000,174789.202704
128,2426895.394772,296441.000000,41719.033726
256,1485048.353007,250764.000000,15383.880557
512,1724206.373431,244758.000000,378830.288090
1024,2230739.876037,297780.000000,289908.482635
2048,3051589.381122,280589.000000,454065.479130
4096,1745374.601458,297839.000000,613634.687277
8192,4040750.326811,298655.000000,762477.819821
16384,1386468.229627,119422.000000,430960.370050
32768,6247486.279179,293419.000000,2150470.761170
65536,5573491.813078,242558.000000,5280535.373634
