frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,305545.338732,121085.000000,3801.915307
4,692461.301302,238081.000000,3664.354650
8,347987.320418,116741.000000,2220.644501
16,711917.505102,278897.000000,1062.876757
32,513729.390695,176263.000000,2396.242684
64,571164.034369,207096.000000,17229.302365
128,1206956.104460,226959.000000,29737.602308
256,318289.706417,115855.000000,16964.961273
512,897202.447144,257907.000000,73177.826546
1024,1174681.236826,277506.000000,48090.082408
2048,755270.871164,244290.000000,143047.410417
4096,918789.939362,237932.000000,230022.557861
8192,838339.719750,200249.000000,411994.721762
16384,524776.361902,156490.000000,167041.914587
32768,1155784.419476,240591.000000,638068.331000
65536,371751.879506,60892.000000,0.000000
