frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,326592.170344,80924.000000,1689.742880
4,484447.600931,124873.000000,3782.634399
8,334495.130488,88229.000000,3485.375590
16,494576.317389,144813.000000,3679.682731
32,471209.850650,197221.000000,12888.310556
64,755515.719899,209971.000000,1194.112223
128,572178.354594,213151.000000,37163.105400
256,998586.397093,270867.000000,24470.630539
512,864393.508034,173124.000000,29827.115801
1024,1104148.038839,252271.000000,132646.246943
2048,638222.582773,212083.000000,90916.832869
4096,631154.467429,149393.000000,138170.730019
8192,575816.600501,144245.000000,238464.867884
16384,2013360.259947,235833.000000,694295.609677
32768,1691594.852148,279432.000000,670145.524501
65536,493177.766893,133170.000000,0.000000
