frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,379374.847826,135194.000000,2879.517147
4,174956.725532,62130.000000,181.950543
8,363943.227606,93499.000000,7334.960123
16,750200.544468,230159.000000,29250.674659
32,628936.138985,218198.000000,9712.827858
64,327720.130604,135729.000000,9611.455145
128,817991.362622,266425.000000,23147.297596
256,694573.106702,259212.000000,51329.527720
512,586707.902539,212375.000000,66101.723760
1024,307133.533773,67597.000000,40652.402623
2048,1316164.005293,255601.000000,110473.410946
4096,455182.695408,92857.000000,109616.715345
8192,788145.728115,134937.000000,456531.082250
16384,916926.563914,249865.000000,274631.114392
32768,2412348.445177,264139.000000,1696096.021979
65536,970035.941686,111227.000000,857954.223609
