frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,345365.835528,95920.000000,62.537988
4,460872.206071,147192.000000,366.271757
8,405453.504080,94376.000000,418.503286
16,752442.826999,257249.000000,14183.149439
32,784823.748083,270787.000000,2158.000000
64,392289.995654,90625.000000,1056.630967
128,652421.724497,219545.000000,1793.409323
256,770358.889850,173335.000000,72849.707192
512,460687.075008,108280.000000,12801.394299
1024,524660.461359,125514.000000,144344.565630
2048,1072223.915687,264425.000000,154144.892961
4096,996498.825808,256585.000000,214143.653534
8192,404785.252238,165421.000000,192805.086466
16384,1658784.014603,217740.000000,961453.376354
32768,845898.052319,245436.000000,362105.246272
65536,1457635.027117,200373.000000,1050586.522984
