frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,273052.438746,173779.000000,222.015765
4,148714.877924,78480.000000,298.715584
8,268550.709198,128652.000000,135.528595
16,159955.464777,64896.000000,209.726012
32,846103.502536,510919.000000,1644.117088
64,546270.056183,239797.000000,6202.570274
128,109354.113997,52665.000000,1244.801591
256,117712.795358,42309.000000,3750.903891
512,687539.231764,265151.000000,23870.745757
1024,173944.430514,94346.000000,3701.672460
2048,702225.913753,349040.000000,307865.485966
4096,677150.954065,244426.000000,48159.546883
8192,307546.874676,137849.000000,55858.156289
16384,725598.151812,277497.000000,350171.605249
32768,305153.888207,173045.000000,140164.834955
65536,391172.601933,174100.000000,209845.364759
