frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,822404.999033,98242.000000,8085.304447
4,429157.346413,68558.000000,11999.806498
8,232734.566275,30370.000000,2999.063854
16,950280.138884,124187.000000,21020.835402
32,603620.698684,89691.000000,28456.263968
64,1069810.014489,143174.000000,45435.378880
128,667802.626417,103002.000000,43039.473579
256,2192605.656484,234316.000000,128064.686026
512,1160492.514815,158922.000000,187477.759038
1024,1043171.476926,143971.000000,64984.305559
2048,820651.742132,101407.000000,123661.542158
4096,1162502.820190,151711.000000,290737.092026
8192,1830581.286501,143541.000000,657531.341222
16384,1633812.508082,160192.000000,644113.636577
32768,2492359.327828,185916.000000,2023391.521085
65536,3595670.210243,255660.000000,3185275.574269
