frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,658337.240275,103904.000000,1720.068603
4,1005151.042109,130090.000000,1423.000000
8,697893.248194,100771.000000,2824.000000
16,801773.815348,108957.000000,84821.465774
32,1543725.014403,186853.000000,4332.828060
64,1497544.179322,168871.000000,41707.487505
128,1241045.704026,167860.000000,24237.804005
256,1513645.341765,181386.000000,46634.896376
512,1207408.544966,146449.000000,76743.497106
1024,1770527.069268,188763.000000,109133.857395
2048,1303330.829153,157471.000000,361875.443573
4096,2429010.222010,242627.000000,674633.689672
8192,1386845.668617,149503.000000,572324.588601
16384,1869135.141476,194156.000000,145010.485521
32768,3783630.676131,245437.000000,492691.757108
65536,2612771.694409,246660.000000,1056857.182752
