frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,173304.938069,92348.000000,141.682744
4,465115.508831,239768.000000,34.029399
8,312086.823660,274266.000000,52.640289
16,581919.946395,256230.000000,44.090815
32,663324.131152,264068.000000,84.344532
64,232372.632900,106849.000000,705.450211
128,99055.826578,28688.000000,7202.974177
256,407666.794402,224492.000000,54881.064448
512,555254.439404,272052.000000,52778.253040
1024,213808.986974,104497.000000,3300.545106
2048,714079.306353,210772.000000,5629.048676
4096,508789.433513,97659.000000,21701.326734
8192,833191.898549,102874.000000,44577.130818
16384,262509.766287,83163.000000,117278.447018
32768,3282134.014917,143297.000000,3219106.329289
65536,1081529.837149,283025.000000,643924.769165
