frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,272716.225843,142479.000000,17.146428
4,429141.548939,342903.000000,133.041347
8,207935.385183,120674.000000,1317.567076
16,284627.295047,199694.000000,142.249780
32,342450.281986,164927.000000,971.306852
64,224634.185731,128097.000000,192.010416
128,905231.486816,308495.000000,61745.075269
256,694562.279555,228298.000000,1139.231320
512,1051620.766122,318617.000000,63610.098263
1024,245341.846995,152695.000000,19569.312252
2048,659176.852615,255637.000000,39699.801876
4096,628725.363126,290183.000000,112671.097155
8192,108833.421691,38789.000000,40906.995001
16384,1306788.516180,149751.000000,49337.628267
32768,1336263.801549,256691.000000,1121586.813258
65536,2671068.781075,141148.000000,2574852.104485
