frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,422880.488430,222633.000000,0.000000
4,366080.363584,245216.000000,0.000000
8,791833.916747,313955.000000,0.000000
16,276064.267534,168151.000000,0.000000
32,415823.086103,260665.000000,0.000000
64,501469.658073,224966.000000,0.000000
128,387239.938245,264227.000000,0.000000
256,509621.664593,364951.000000,0.000000
512,339655.289255,242607.000000,0.000000
1024,958275.602715,278595.000000,0.000000
2048,936295.791819,283145.000000,0.000000
4096,733773.778870,249416.000000,0.000000
8192,444054.369385,312607.000000,0.000000
16384,1320939.057520,296947.000000,0.000000
32768,789078.611906,189628.000000,0.000000
65536,1920642.761312,275396.000000,0.000000
