frequency,RFDynamic_njobs200_mode0_L2_norm_flow_time,RFDynamic_njobs200_mode1_L2_norm_flow_time,RFDynamic_njobs200_mode2_L2_norm_flow_time,RFDynamic_njobs200_mode4_L2_norm_flow_time,RFDynamic_njobs200_mode8_L2_norm_flow_time,RFDynamic_njobs200_mode16_L2_norm_flow_time,RFDynamic_njobs200_mode0_maximum_flow_time,RFDynamic_njobs200_mode1_maximum_flow_time,RFDynamic_njobs200_mode2_maximum_flow_time,RFDynamic_njobs200_mode4_maximum_flow_time,RFDynamic_njobs200_mode8_maximum_flow_time,RFDynamic_njobs200_mode16_maximum_flow_time
1024,35203453.543092,35203453.543092,35203453.543092,35203453.543092,35203453.543092,35203453.543092,611474.000000,611474.000000,611474.000000,611474.000000,611474.000000,611474.000000
128,35963628.763357,35963628.763357,35963628.763357,35963628.763357,35963628.763357,35963628.763357,622722.000000,622722.000000,622722.000000,622722.000000,622722.000000,622722.000000
16384,37357061.859072,37357061.859072,37357061.859072,37357061.859072,37357061.859072,37357061.859072,647095.000000,647095.000000,647095.000000,647095.000000,647095.000000,647095.000000
16,35301209.747603,35301209.747603,35301209.747603,35301209.747603,35301209.747603,35301209.747603,610291.000000,610291.000000,610291.000000,610291.000000,610291.000000,610291.000000
2048,18624231.770111,18624231.770111,18624231.770111,18624231.770111,18624231.770111,18624231.770111,325009.000000,325009.000000,325009.000000,325009.000000,325009.000000,325009.000000
256,35212741.377978,35212741.377978,35212741.377978,35212741.377978,35212741.377978,35212741.377978,611538.000000,611538.000000,611538.000000,611538.000000,611538.000000,611538.000000
2,331958.053639,331958.053639,331958.053639,331958.053639,331958.053639,331958.053639,5292.000000,5292.000000,5292.000000,5292.000000,5292.000000,5292.000000
32768,36747739.069541,36747739.069541,36747739.069541,36747739.069541,36747739.069541,36747739.069541,632392.000000,632392.000000,632392.000000,632392.000000,632392.000000,632392.000000
32,954711.599755,954711.599755,954711.599755,954711.599755,954711.599755,954711.599755,18252.000000,18252.000000,18252.000000,18252.000000,18252.000000,18252.000000
4096,17563768.121080,17563768.121080,17563768.121080,17563768.121080,17563768.121080,17563768.121080,301829.000000,301829.000000,301829.000000,301829.000000,301829.000000,301829.000000
4,343143.576436,343143.576436,343143.576436,343143.576436,343143.576436,343143.576436,5644.000000,5644.000000,5644.000000,5644.000000,5644.000000,5644.000000
512,708139.442760,708139.442760,708139.442760,708139.442760,708139.442760,708139.442760,12021.000000,12021.000000,12021.000000,12021.000000,12021.000000,12021.000000
64,911040.637263,911040.637263,911040.637263,911040.637263,911040.637263,911040.637263,14252.000000,14252.000000,14252.000000,14252.000000,14252.000000,14252.000000
65536,16505345.912284,16505345.912284,16505345.912284,16505345.912284,16505345.912284,16505345.912284,292749.000000,292749.000000,292749.000000,292749.000000,292749.000000,292749.000000
8192,36684465.120325,36684465.120325,36684465.120325,36684465.120325,36684465.120325,36684465.120325,633879.000000,633879.000000,633879.000000,633879.000000,633879.000000,633879.000000
8,17776870.857318,17776870.857318,17776870.857318,17776870.857318,17776870.857318,17776870.857318,304950.000000,304950.000000,304950.000000,304950.000000,304950.000000,304950.000000
