arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time
20,500.000000,200,59861326.004104,59861326.004104,59861326.004104,59861326.004104,59861326.004104,59861326.004104,59861326.004104,59861326.004104
20,100.000000,50,10142174.802751,10142174.802751,10142174.802751,10142174.802751,10142174.802751,10142174.802751,10142174.802751,10142174.802751
20,2000.000000,800,241637320.024775,241637320.024775,241637320.024775,241637320.024775,241637320.024775,241637320.024775,241637320.024775,241637320.024775
20,8.500000,262144,37200895.700099,37131065.311305,37131065.311305,37131065.311305,37131065.311305,37131065.311305,37131065.311305,37131065.311305
20,9.800000,32768,50172375.550850,50172375.550850,50172375.550850,50172375.550850,50172375.550850,50172375.550850,50172375.550850,50172375.550850
20,12.400000,4096,71285149.088263,71285149.088263,71285149.088263,71285149.088263,71285149.088263,71285149.088263,71285149.088263,71285149.088263
20,18.900000,512,117781105.265777,117781105.265777,117781105.265777,117781105.265777,117781105.265777,117781105.265777,117781105.265777,117781105.265777
20,60.000000,24,175907396.346105,175943128.085568,175965869.375940,175965869.375940,175972945.119426,175965869.375940,175965869.375940,175965869.375940
20,60.000000,18,180723673.474850,181228754.009119,181840432.063509,182218349.046431,183064943.573528,183446262.729158,183448824.170393,183166093.659495
20,60.000000,12,185659938.487033,186144822.236229,186247400.648411,186247400.648411,186247319.119554,186247400.927229,186247400.648411,186247400.927229
20,56.300000,64,186628673.690238,186628673.690238,186628673.690238,186628673.690238,186628673.690238,186628673.690238,186628673.690238,186628673.690238
