arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
28.0,7.918,512,0.0,100.0,10
32.0,5.649,4096,0.0,100.0,10
20.0,16.772,64,90.0,10.0,10
20.0,4.639,32768,0.0,100.0,10
36.0,16.772,64,90.0,10.0,10
26.0,5.649,4096,0.0,100.0,10
22.0,4.073,262144,0.0,100.0,10
24.0,4.639,32768,0.0,100.0,10
22.0,5.649,4096,0.0,100.0,10
20.0,7.918,512,0.0,100.0,10
28.0,16.772,64,90.0,10.0,10
32.0,4.073,262144,0.0,100.0,10
38.0,4.639,32768,0.0,100.0,10
36.0,7.918,512,0.0,100.0,10
36.0,5.649,4096,0.0,100.0,10
30.0,16.772,64,90.0,10.0,10
38.0,7.918,512,0.0,100.0,10
22.0,4.639,32768,0.0,100.0,10
24.0,4.073,262144,0.0,100.0,10
26.0,16.772,64,90.0,10.0,10
38.0,5.649,4096,0.0,100.0,10
34.0,4.073,262144,0.0,100.0,10
26.0,4.639,32768,0.0,100.0,10
40.0,4.639,32768,0.0,100.0,10
38.0,16.772,64,90.0,10.0,10
30.0,7.918,512,0.0,100.0,10
26.0,7.918,512,0.0,100.0,10
28.0,5.649,4096,0.0,100.0,10
40.0,7.918,512,0.0,100.0,10
24.0,5.649,4096,0.0,100.0,10
26.0,4.073,262144,0.0,100.0,10
32.0,16.772,64,90.0,10.0,10
36.0,4.639,32768,0.0,100.0,10
36.0,4.073,262144,0.0,100.0,10
30.0,5.649,4096,0.0,100.0,10
24.0,16.772,64,90.0,10.0,10
32.0,7.918,512,0.0,100.0,10
34.0,5.649,4096,0.0,100.0,10
40.0,16.772,64,90.0,10.0,10
38.0,4.073,262144,0.0,100.0,10
24.0,7.918,512,0.0,100.0,10
32.0,4.639,32768,0.0,100.0,10
20.0,5.649,4096,0.0,100.0,10
28.0,4.073,262144,0.0,100.0,10
22.0,16.772,64,90.0,10.0,10
28.0,4.639,32768,0.0,100.0,10
40.0,4.073,262144,0.0,100.0,10
40.0,5.649,4096,0.0,100.0,10
34.0,4.639,32768,0.0,100.0,10
34.0,16.772,64,90.0,10.0,10
22.0,7.918,512,10.0,90.0,10
20.0,4.073,262144,0.0,100.0,10
30.0,4.639,32768,0.0,100.0,10
30.0,4.073,262144,0.0,100.0,10
34.0,7.918,512,0.0,100.0,10
