frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
65536,78105.224223,78353.901039,78629.352299,82980.795242,83325.412672,119112.048480
4,217374.737212,217862.578939,217665.884844,217641.536332,217641.536332,217637.491922
32768,759437.467667,759437.512810,727944.372888,664675.050347,543940.931286,521936.260527
2,558770.316382,506267.510674,466043.654117,466043.654117,466043.654117,466035.274380
8,348447.711330,358782.109955,405833.214477,405833.214477,405921.153451,405833.214477
8192,756547.709780,797686.181333,792956.253989,606216.744451,499863.465118,498875.418963
512,797022.425589,671644.569544,523477.848566,525915.357879,525888.674784,525787.730424
1024,773868.931028,686761.913666,692105.542865,579746.392786,579711.067058,579741.946687
32,395564.675474,365001.084193,371491.064829,419563.323470,419563.323470,419562.760652
256,845855.581902,845709.889107,886267.410702,908627.272357,890828.108744,908627.272357
128,578922.016234,594529.260479,534935.758652,543895.306021,578893.317285,543809.194103
4096,928782.176012,870677.715862,782650.353558,802958.620982,743264.436505,745429.074797
64,579251.960241,596657.615794,561684.878167,561684.878167,538284.008407,561684.878167
2048,1334329.604973,1318777.586629,1222843.022686,1203596.597865,1193630.472017,1021114.639323
16,963371.475445,1025592.217497,893635.674638,882786.509806,803890.158863,769406.375396
16384,2105133.220575,2087609.148279,2082840.664940,2063047.446863,1957711.803237,1521737.683611
