frequency,Dynamic_njobs25_mode0_L2_norm_flow_time,Dynamic_njobs25_mode0_maximum_flow_time,Dynamic_njobs25_mode1_L2_norm_flow_time,Dynamic_njobs25_mode1_maximum_flow_time,Dynamic_njobs25_mode2_L2_norm_flow_time,Dynamic_njobs25_mode2_maximum_flow_time,Dynamic_njobs25_mode4_L2_norm_flow_time,Dynamic_njobs25_mode4_maximum_flow_time,Dynamic_njobs25_mode8_L2_norm_flow_time,Dynamic_njobs25_mode8_maximum_flow_time,Dynamic_njobs25_mode16_L2_norm_flow_time,Dynamic_njobs25_mode16_maximum_flow_time
16,122565.553317,74654.000000,131024.340441,31572.000000,124911.846568,44534.000000,122565.553317,74654.000000,122565.553317,74654.000000,122565.553317,74654.000000
2,68213.695077,49036.000000,94259.852716,25777.000000,66894.882405,43329.000000,68225.202704,49036.000000,68213.695077,49036.000000,68213.695077,49036.000000
8,138658.129985,115121.000000,298821.038029,53847.000000,249602.002306,55500.000000,153890.487009,70927.000000,138658.129985,115121.000000,138658.129985,115121.000000
4,315493.672984,250724.000000,757502.174937,111255.000000,550872.912090,118644.000000,315493.672984,250724.000000,315493.672984,250724.000000,315493.672984,250724.000000
32768,203372.792423,112143.000000,303497.522089,44783.000000,260847.239169,46424.000000,230705.111851,77823.000000,202441.646481,112143.000000,203372.792423,112143.000000
64,155484.390210,93859.000000,354097.133548,44293.000000,318233.932207,63681.000000,155337.135618,93859.000000,155484.390210,93859.000000,155484.390210,93859.000000
128,279857.694445,176172.000000,329043.392629,79019.000000,305718.534011,112444.000000,285010.731666,141160.000000,279857.694445,176172.000000,279857.694445,176172.000000
32,198358.090178,140065.000000,250005.196936,46497.000000,225053.903423,58584.000000,201108.013339,103945.000000,198358.090178,140065.000000,198358.090178,140065.000000
4096,205352.306693,100009.000000,260417.556499,52729.000000,259939.329190,69930.000000,209799.399973,71631.000000,205352.306693,100009.000000,205352.306693,100009.000000
65536,629393.350717,219843.000000,988340.310742,116564.000000,795277.480561,149405.000000,630167.697475,174805.000000,629393.350717,219843.000000,629393.350717,219843.000000
1024,420524.777741,214967.000000,982644.062763,134695.000000,396916.561421,214967.000000,420524.777741,214967.000000,420524.777741,214967.000000,420524.777741,214967.000000
512,346887.742055,271095.000000,1359801.848230,81643.000000,482089.542150,162300.000000,346887.742055,271095.000000,346887.742055,271095.000000,346887.742055,271095.000000
8192,519468.421459,266283.000000,634822.024701,85763.000000,545480.472305,174088.000000,515256.401467,209557.000000,519468.421459,266283.000000,519468.421459,266283.000000
2048,536962.379692,255788.000000,859687.520552,107292.000000,573821.080131,194794.000000,537089.514524,255788.000000,536962.379692,255788.000000,536962.379692,255788.000000
256,300382.082453,251422.000000,1063241.844118,116524.000000,670470.753338,156883.000000,300382.082453,251422.000000,300382.082453,251422.000000,300382.082453,251422.000000
16384,669027.303726,258116.000000,998793.464811,133496.000000,805808.395049,179158.000000,808312.174892,170404.000000,669027.303726,258116.000000,669027.303726,258116.000000
