frequency,Dynamic_njobs100_mode0_L2_norm_flow_time,Dynamic_njobs100_mode0_maximum_flow_time,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode8_maximum_flow_time,Dynamic_njobs100_mode16_L2_norm_flow_time,Dynamic_njobs100_mode16_maximum_flow_time
2,105183.620488,71075.000000,107603.588997,71075.000000,105741.251624,59857.000000,106202.884532,62805.000000,105183.620488,71075.000000,105183.620488,71075.000000
32,236253.227189,112863.000000,319841.079014,70326.000000,303291.168139,73790.000000,235886.843094,111833.000000,236253.227189,112863.000000,236253.227189,112863.000000
256,288723.536417,126942.000000,330522.912404,58043.000000,359882.211351,103447.000000,278699.483415,126942.000000,278002.683433,126942.000000,288723.536417,126942.000000
65536,146941.864654,64228.000000,146942.182926,64228.000000,146941.864654,64228.000000,146941.864654,64228.000000,146941.864654,64228.000000,146941.864654,64228.000000
64,373643.330149,130301.000000,480407.473649,70204.000000,400604.013973,88404.000000,453860.542905,89450.000000,373643.330149,130301.000000,372485.471757,130301.000000
4096,294237.134392,77117.000000,414702.843235,26266.000000,407087.881174,27936.000000,392411.027117,41181.000000,340801.185880,58611.000000,319638.883652,62872.000000
16384,885420.103765,235318.000000,960597.345455,141495.000000,968764.110269,141495.000000,962107.899573,141495.000000,959833.259706,141495.000000,973141.156931,141495.000000
4,326771.057344,180009.000000,389017.580243,78101.000000,335830.646164,106208.000000,338511.938433,144778.000000,326771.057344,180009.000000,326771.057344,180009.000000
512,578671.563701,267969.000000,584171.320414,112660.000000,536654.717881,112660.000000,505205.593935,129843.000000,513953.780682,166715.000000,578671.563701,267969.000000
128,559701.964601,221425.000000,635426.884169,116396.000000,550753.017819,167806.000000,549990.694714,155015.000000,560454.662580,221425.000000,559701.964601,221425.000000
16,415164.070149,225395.000000,509291.362223,139881.000000,428923.895617,137101.000000,422719.080125,178695.000000,415164.070149,225395.000000,415164.070149,225395.000000
8,351986.066389,287327.000000,374486.149060,80575.000000,404441.950856,97431.000000,338679.422412,111439.000000,351986.066389,287327.000000,351986.066389,287327.000000
8192,553746.871915,179660.000000,717885.197621,83060.000000,731822.460992,85607.000000,726959.989052,85607.000000,671062.917414,118455.000000,581333.859465,174674.000000
1024,543542.448282,227332.000000,776229.224534,58656.000000,719140.999391,78129.000000,703551.285871,83929.000000,642237.925799,147748.000000,543542.448282,227332.000000
2048,668375.663186,262439.000000,1079247.918859,63460.000000,1065257.561181,69888.000000,950914.490919,116477.000000,963250.232468,97326.000000,898254.240420,136991.000000
32768,1395072.417208,134431.000000,1386945.044995,152988.000000,1386951.436595,152988.000000,1383708.423760,152988.000000,1380569.776880,152988.000000,1368239.690962,152988.000000
