arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time
32,8000.000000,3000,993323205.171889,993323205.171889,993323205.171889,993323205.171889,993323205.171889,993323205.171889,993323205.171889,993323205.171889
32,300.000000,150,32201064.010619,32201064.010619,32201064.010619,32201064.010619,32201064.010619,32201064.010619,32201064.010619,32201064.010619
32,1500.000000,600,183030847.139758,183030847.139758,183030847.139758,183030847.139758,183030847.139758,183030847.139758,183030847.139758,183030847.139758
32,13.000000,262144,54776911.942879,53978453.645534,53978453.645534,53978453.645534,53978453.645534,53978453.645534,53978453.645534,53978453.645534
32,15.300000,32768,73874846.712200,73641144.846842,73641144.846842,73641144.846842,73641144.846842,73641144.846842,73641144.846842,73641144.846842
32,19.700000,4096,112409980.351520,112409980.351520,112409980.351520,112409980.351520,112409980.351520,112409980.351520,112409980.351520,112409980.351520
32,32.300000,512,188711425.429353,188711425.429353,188711425.429353,188711425.429353,188711425.429353,188711425.429353,188711425.429353,188711425.429353
32,90.000000,36,255227529.721509,255915969.580373,256211872.473197,256405073.783452,256405073.783452,256405073.783452,256405073.783452,256405073.783452
32,90.000000,27,262102939.261512,263197115.470063,260406611.573793,259414953.964927,258320048.584314,269177822.295868,269181536.987230,258197448.210862
32,90.000000,18,269488796.357308,269571797.882918,269571797.882918,269571797.882918,269571797.882918,269571797.882918,269571797.882918,269571797.882918
