arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time
30,8000.000000,3000,1003148448.092427,1003148448.092427,1003148448.092427,1003148448.092427,1003148448.092427,1003148448.092427,1003148448.092427,1003148448.092427
30,300.000000,150,32663157.508124,32663157.508124,32663157.508124,32663157.508124,32663157.508124,32663157.508124,32663157.508124,32663157.508124
30,1500.000000,600,182107662.429693,182107662.429693,182107662.429693,182107662.429693,182107662.429693,182107662.429693,182107662.429693,182107662.429693
30,13.000000,262144,59538017.589756,59538017.589756,59538017.589756,59538017.589756,59538017.589756,59538017.589756,59538017.589756,59538017.589756
30,15.300000,32768,78180576.541031,78180576.541031,78180576.541031,78180576.541031,78180576.541031,78180576.541031,78180576.541031,78180576.541031
30,19.700000,4096,115360716.235481,115360716.235481,115360716.235481,115360716.235481,115360716.235481,115360716.235481,115360716.235481,115360716.235481
30,90.000000,36,261025587.349029,261253448.439243,261253448.439243,261253448.439243,261253448.439243,261253448.439243,261253448.439243,261253448.439243
30,32.300000,512,195238150.413571,195238150.413571,195238150.413571,195238150.413571,195238150.413571,195238150.413571,195238150.413571,195238150.413571
30,90.000000,27,269870591.825314,270388318.222855,270301317.861561,270669031.736864,272214682.247037,274846969.643054,274844512.533028,271912174.172328
30,90.000000,18,279272831.160352,280087870.477440,280156857.969242,280156857.969242,280156857.969242,280156857.969242,280156857.969242,280156857.969242
