arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
24,13.000000,262144,9447259.071224,9447259.071224,9447259.071224,9447259.071224,9447259.071224,9447259.071224
24,15.300000,32768,11700213.191214,11700213.191214,11700213.191214,11700213.191214,11700213.191214,11700213.191214
24,19.700000,4096,16093093.063537,16093093.063537,16093093.063537,16093093.063537,16093093.063537,16093093.063537
24,90.000000,27,36411075.892900,36473076.383489,36473076.383489,36473076.383489,36468694.225746,36473076.383489
24,90.000000,36,34851102.866580,34851102.866580,34851102.866580,34851102.866580,34851102.866580,34851102.866580
24,32.300000,512,26220931.817010,26220931.817010,26220931.817010,26220931.817010,26220931.817010,26220931.817010
24,90.000000,18,37829527.562774,37824320.802602,37868380.579268,37371399.959866,37777199.190597,38061216.015973
