frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,90617.739113,32376.000000,194.193203
4,755572.556758,274907.000000,465.379415
8,1199661.335105,301609.000000,192.161391
16,416784.589714,185957.000000,417.818142
32,1197909.445920,286484.000000,948.727569
64,564346.005750,210647.000000,6557.652629
128,859942.116012,295793.000000,22469.479411
256,1163801.717692,284784.000000,7333.429961
512,763774.300571,231685.000000,332691.270118
1024,1066036.029721,261363.000000,37196.303741
2048,1131640.784592,290736.000000,67296.070933
4096,682267.107001,183173.000000,418569.359457
8192,1555670.198422,241939.000000,571277.126426
16384,1420889.636917,228558.000000,344612.392276
32768,1607567.875286,198404.000000,1076837.008457
65536,1653798.239808,186488.000000,1649273.714082
